order_id,customer_name,email,order_date,product,category,price,quantity,country,sales_channel,payment_type,order_status,discount_applied,customer_age,newsletter_signup
5001,Marco Hassan,marco.hassan86outlook.com,01/02/2024,Trainers,Clothing,N/A,0,U.K.,email,Card,Cancelled,No,34,no
5002,Julien Keller,julienkeller@mail.com,20/04/2024,Running Shoes,Clothing,N/A,2,U.K.,TikTok,Card,Completed,FALSE,27,FALSE
5003,Isla Silva  ,isla.silva10@,2024.01.27,Denim Jacket,Footwear,55,-1,United Kingdom,Email,Google Pay,Completed,TRUE,22,FALSE
5004,Nadia Kovacs  ,nadia.kovacs66 @outlook.com,30/04/2024,Trainers,Footwear,Â£29.99,2,GB,email,Google Pay,Completed,FALSE,,TRUE
5005,Leo Popescu  ,leo.popescu10@,12/02/2024,Denim Jacket,Clothing,29.99,1,United Kingdom,Facebook,Apple Pay,Cancelled,No,27,no
5006,Anika OConnor,anikaoconnor@outlook.com,18-Mar-24,Trainers,Footwear,Â£29.99,2,uk,instagram,PayPal,Cancelled,No,22,yes
5007,Elena Ivanov,elena.ivanov42@company.co,24/01/2024,Denim Jacket,Clothing,Â£29.99,-1,UK,TikTok,PayPal,Cancelled,FALSE,27,FALSE
5008,Aisha Sato ,aisha.sato78@outlook.com,22/04/2024,Hoodie,Accessories,55,0,United Kingdom,TikTok,PayPal,Pending,Yes,unknown,no
5009,Jonas Papadopoulos,jonas.papadopoulos96@gmal.com,2024.02.19,Graphic Tee,Footwear,55,0,uk,Instagram,Apple Pay,Pending,FALSE,41,FALSE
5010,Hannah Kim ,hannah.kim62@outlok.com,2024.01.21,Graphic Tee,Accessories,N/A,-1,U.K.,email,Google Pay,Refunded,FALSE,27,FALSE
5011,Fatima Wright  ,fatima.wright55@hotnail.com,18/04/2024,Cap,Accessories,29.99,3,GB,email,PayPal,Cancelled,TRUE,,FALSE
5012,Amelia Brown  ,amelia.brown78gmail.com,2024.03.07,Cap,Accessories,29.99,-1,GB,instagram,Apple Pay,Cancelled,FALSE,41,yes
5013,Harper Weber  ,harperweber@company.co,26/01/2024,Trainers,Clothing,Â£29.99,-1,UK,Instagram,Google Pay,Pending,TRUE,41,no
5014,Nadia Keller  ,nadia.keller47gmail.com,20-Apr-24,Graphic Tee,Footwear,Â£45,0,uk,instagram,PayPal,Cancelled,N,,FALSE
5015,Ines Romano  ,ines.romano32@@company.co,2024.01.27,Graphic Tee,Accessories,N/A,0,United Kingdom,Facebook,Google Pay,Refunded,Yes,41,FALSE
5016,Jonah Conti,jonah.conti24@@mail.com,2024.01.10,Cap,Accessories,Â£29.99,-1,U.K.,TikTok,Card,Pending,FALSE,27,FALSE
